Time,Wave Ht (ft) ECMWF,Wave Dir ECMWF,Wave Per (s) ECMWF,Wind Spd (mph) ECMWF,Wind Dir ECMWF,Current Dir ECMWF,Current Spd (mph) ECMWF
2025-06-17 11:00 AM EDT,1.94,SE,4.41,6.24,SE,SE,0.22
2025-06-17 12:00 PM EDT,1.94,SE,4.07,7.76,SE,SE,0.25
2025-06-17 01:00 PM EDT,1.97,SE,3.73,9.26,SE,SE,0.25
2025-06-17 02:00 PM EDT,1.97,SE,3.39,10.78,SE,SE,0.27
2025-06-17 03:00 PM EDT,2.0,SE,3.31,11.52,SE,SE,0.29
2025-06-17 04:00 PM EDT,2.0,SE,3.24,12.28,SE,SE,0.29
2025-06-17 05:00 PM EDT,2.03,SE,3.16,13.02,SE,S,0.31
2025-06-17 06:00 PM EDT,2.2,SE,3.13,13.96,SE,SE,0.31
2025-06-17 07:00 PM EDT,2.33,SE,3.09,14.9,SE,SE,0.29
2025-06-17 08:00 PM EDT,2.49,SE,3.06,15.84,SE,SE,0.29
2025-06-17 09:00 PM EDT,2.59,SE,3.1,15.77,SE,SE,0.29
2025-06-17 10:00 PM EDT,2.69,SE,3.14,15.7,S,SE,0.29
2025-06-17 11:00 PM EDT,2.79,SE,3.18,15.64,S,SE,0.29
2025-06-18 12:00 AM EDT,2.72,SE,3.23,14.16,S,SE,0.29
2025-06-18 01:00 AM EDT,2.66,SE,3.29,12.68,S,SE,0.31
2025-06-18 02:00 AM EDT,2.56,SE,3.34,11.21,S,SE,0.31
2025-06-18 03:00 AM EDT,2.46,SE,3.38,10.58,S,SE,0.31
2025-06-18 04:00 AM EDT,2.36,SE,3.41,9.95,S,SE,0.29
2025-06-18 05:00 AM EDT,2.23,SE,3.45,9.33,S,SE,0.29
2025-06-18 06:00 AM EDT,2.17,SE,3.45,9.13,S,SE,0.29
2025-06-18 07:00 AM EDT,2.1,SE,3.45,8.93,S,SE,0.29
2025-06-18 08:00 AM EDT,2.03,SE,3.45,8.72,S,SE,0.29
2025-06-18 09:00 AM EDT,2.0,SE,3.54,8.81,S,SE,0.29
2025-06-18 10:00 AM EDT,1.94,SE,3.63,8.88,S,SE,0.31
2025-06-18 11:00 AM EDT,1.9,SE,3.71,8.97,SE,SE,0.31
2025-06-18 12:00 PM EDT,1.97,SE,3.51,10.42,SE,SE,0.34
2025-06-18 01:00 PM EDT,2.0,SE,3.31,11.88,SE,SE,0.34
2025-06-18 02:00 PM EDT,2.07,SE,3.11,13.33,SE,SE,0.36
2025-06-18 03:00 PM EDT,2.17,SE,3.1,14.41,SE,SE,0.36
2025-06-18 04:00 PM EDT,2.3,SE,3.09,15.48,SE,SE,0.38
2025-06-18 05:00 PM EDT,2.4,SE,3.07,16.55,SE,SE,0.38
2025-06-18 06:00 PM EDT,2.49,SE,3.1,16.46,SE,SE,0.38
2025-06-18 07:00 PM EDT,2.62,SE,3.12,16.35,SE,SE,0.36
2025-06-18 08:00 PM EDT,2.72,SE,3.14,16.26,SE,SE,0.36
2025-06-18 09:00 PM EDT,2.79,SE,3.18,16.33,SE,SE,0.36
2025-06-18 10:00 PM EDT,2.82,SE,3.22,16.37,SE,SE,0.34
2025-06-18 11:00 PM EDT,2.89,SE,3.26,16.44,SE,SE,0.34
2025-06-19 12:00 AM EDT,2.85,SE,3.27,15.59,S,SE,0.36
2025-06-19 01:00 AM EDT,2.85,SE,3.27,14.76,S,SE,0.36
2025-06-19 02:00 AM EDT,2.82,SE,3.28,13.91,S,SE,0.38
2025-06-19 03:00 AM EDT,2.72,SE,3.31,12.75,S,SE,0.38
2025-06-19 04:00 AM EDT,2.59,SE,3.34,11.61,S,SE,0.38
2025-06-19 05:00 AM EDT,2.46,SE,3.37,10.45,S,SE,0.38
2025-06-19 06:00 AM EDT,2.36,SE,3.44,9.69,S,SE,0.38
2025-06-19 07:00 AM EDT,2.23,SE,3.5,8.9,S,SE,0.36
2025-06-19 08:00 AM EDT,2.13,SE,3.57,8.14,S,SE,0.36
2025-06-19 09:00 AM EDT,2.07,SE,3.69,7.58,S,SE,0.38
2025-06-19 10:00 AM EDT,2.0,SE,3.82,7.05,S,SE,0.38
2025-06-19 11:00 AM EDT,1.94,SE,3.94,6.49,SE,SE,0.4
2025-06-19 12:00 PM EDT,1.97,SE,3.67,8.99,SE,SE,0.43
2025-06-19 01:00 PM EDT,2.03,SE,3.4,11.48,SE,SE,0.43
2025-06-19 02:00 PM EDT,2.1,SE,3.12,13.98,SE,SE,0.45
2025-06-19 03:00 PM EDT,2.17,SE,3.1,13.94,SE,SE,0.45
2025-06-19 04:00 PM EDT,2.23,SE,3.08,13.89,SE,SE,0.45
2025-06-19 05:00 PM EDT,2.3,SE,3.05,13.85,SE,SE,0.45
2025-06-19 06:00 PM EDT,2.26,SE,3.07,13.27,SE,SE,0.43
2025-06-19 07:00 PM EDT,2.23,SE,3.1,12.66,S,SE,0.43
2025-06-19 08:00 PM EDT,2.2,SE,3.12,12.08,S,SE,0.4
2025-06-19 09:00 PM EDT,2.17,SE,3.27,10.51,S,SE,0.38
2025-06-19 10:00 PM EDT,2.1,SE,3.42,8.93,SW,SE,0.38
2025-06-19 11:00 PM EDT,2.03,SE,3.56,7.36,SW,SE,0.36
2025-06-20 12:00 AM EDT,2.03,SE,3.67,6.76,SW,SE,0.36
2025-06-20 01:00 AM EDT,2.0,SE,3.78,6.17,SW,SE,0.36
2025-06-20 02:00 AM EDT,2.0,SE,3.9,5.57,SW,SE,0.36
